month,executed_efc
2025-01,47.304553163359294
2025-02,43.749486410604135
2025-03,59.303005841623644
2025-04,54.72702643496419
2025-05,55.224537827680045
2025-06,56.15363256963271
2025-07,44.50534002217321
2025-08,53.51959259900436
2025-09,53.59603037769066
2025-10,44.166791319130965
2025-11,36.51617277361454
2025-12,0.0
2026-01,50.67880013079863
2026-02,49.98516387432044
2026-03,60.66237081916716
2026-04,48.95112810725095
2026-05,48.04167975683087
2026-06,50.8790065735205
2026-07,36.25003318063614
2026-08,0.5434782608691666
