month,market,V0_kEUR_per_MW,V1_kEUR_per_MW,delta_kEUR_per_MW,V0_share_pct,V1_share_pct
2025-01,DA,-1.2616037941440905,10.511436299999994,11.773040094144084,-1.8535351960178716,16.061508591301934
2025-01,ID,9.764600533709233,-5.112507414668135,-14.877107948377368,14.346049725194334,-7.811927829861571
2025-01,cap_up,33.604051200000036,34.11102999999996,0.5069787999999207,49.370723135977514,52.12176393088713
2025-01,cap_down,19.94197170000002,19.896029000000016,-0.04594270000000478,29.29853777827237,30.40119652499753
2025-01,act_up,7.539681159915237,7.706247681174313,0.16656652125907545,11.077221280978188,11.775171328192505
2025-01,act_down,-1.5239671567357274,-1.6673476205977937,-0.14338046386206638,-2.2389967244045375,-2.5477125455175256
2025-02,DA,8.477205606163386,19.59083639999999,11.113630793836604,11.739383790187071,27.94205823622549
2025-02,ID,2.2776129105707246,-12.120330958553403,-14.397943869124127,3.154078516537921,-17.287010445670713
2025-02,cap_up,39.46721880000002,40.560092500000025,1.0928737000000055,54.654900464797905,57.850131743313106
2025-02,cap_down,17.336766599999997,17.263922700000006,-0.07284389999999163,24.0082600627646,24.62322300180586
2025-02,act_up,6.407135319972858,6.574584590880571,0.16744927090771267,8.872713959201185,9.377211966170865
2025-02,act_down,-1.754264776847625,-1.75674545418656,-0.002480677338934978,-2.429336793488671,-2.505614501844611
2025-03,DA,8.000352653287946,10.952458300000007,2.952105646712061,12.316451346950686,17.4725201437291
2025-03,ID,4.597564135251282,-1.39264439902247,-5.990208534273752,7.077897367816164,-2.2216936735537804
2025-03,cap_up,23.488125400000015,23.291109599999995,-0.1970158000000204,36.159700235374714,37.15644200679603
2025-03,cap_down,20.443060999999997,20.636452900000005,0.19339190000000883,31.471858441860963,32.92145280209527
2025-03,act_up,7.459901226757532,7.697323439609108,0.23742221285157594,11.48443256118925,12.279584652823393
2025-03,act_down,0.9676330764648242,1.4992072884651095,0.5315742120002853,1.489660046808224,2.3916940681099956
2025-04,DA,4.9621177777994365,7.8898374,2.9277196222005637,14.59450841184001,21.26769900839306
2025-04,ID,3.5876982006841973,0.03400131162082756,-3.5536968890633696,10.55208560411263,0.09165330345620781
2025-04,cap_up,9.818192900000003,11.111059899999995,1.2928669999999922,28.877125712172006,29.950766490755026
2025-04,cap_down,10.461373800000004,11.613339800000007,1.1519660000000034,30.768839991381974,31.304702850858725
2025-04,act_up,3.7339299339549803,4.692625387234611,0.9586954532796308,10.98218024451934,12.649353749020179
2025-04,act_down,1.4365840457718413,1.7568842785758088,0.32030023280396747,4.225260035974045,4.73582459751681
2025-05,DA,3.6286462304509635,5.663663099999997,2.035016869549034,14.171584659733924,20.76414436057676
2025-05,ID,5.682281328611233,3.7097022292615898,-1.9725790993496433,22.192003792784085,13.600525183629143
2025-05,cap_up,4.917914499999998,5.031605299999998,0.11369079999999965,19.20678877461732,18.446891520550217
2025-05,cap_down,7.611273600000001,8.4501139,0.8388402999999984,29.72563356703766,30.979841453301905
2025-05,act_up,2.6135463870683537,3.053562579674306,0.4400161926059525,10.207138291868661,11.19498337011121
2025-05,act_down,1.1514224774169555,1.3675218564135627,0.21609937899660725,4.4968509139583555,5.013614111830761
2025-06,DA,13.687385784080517,15.722452700000003,2.0350669159194865,34.435168447367715,41.68822855571028
2025-06,ID,0.33619716279605594,-3.7622193145445326,-4.098416477340589,0.8458157105408867,-9.975559262546875
2025-06,cap_up,12.122266499999997,12.207099,0.08483250000000275,30.497590663140983,32.36723575032172
2025-06,cap_down,7.541206499999998,7.118932300000001,-0.4222741999999968,18.9724115488814,18.87591474802327
2025-06,act_up,6.929406250487222,7.243775905593372,0.3143696551061499,17.433224666853345,19.206938721381793
2025-06,act_down,-0.8681862305976039,-0.8156707444404143,0.052515486157189595,-2.184211036784339,-2.162758512890189
2025-07,DA,4.442008973497246,9.4447765,5.002767526502754,12.375832031629415,23.464249762453456
2025-07,ID,5.679267379508227,0.5621874936809752,-5.117079885827252,15.822943981171031,1.3966775989943359
