month,common_qh,V0_kEUR_per_MW,V1_kEUR_per_MW,delta_kEUR_per_MW
2025-01,2924,68.06473364274464,65.31293984457993,-2.7517937981647123
2025-02,2592,72.21167445985932,70.11235977814046,-2.099314681718866
2025-03,2936,64.9566374917615,62.34551202265179,-2.6111254691097088
2025-04,2448,33.99989665821047,36.683226201060215,2.683329542849748
2025-05,2328,25.60508452354755,27.059216494571796,1.4541319710242462
2025-06,2784,39.74827596676617,37.71436984660847,-2.0339061201577024
2025-07,2460,35.89260877284559,40.23572814415013,4.343119371304539
2025-08,2872,50.52874251336079,48.90542824914897,-1.623314264211821
2025-09,2860,56.00353641856676,53.79217868682441,-2.2113577317423534
2025-10,2485,35.225679691985924,41.472988266147496,6.247308574161572
2025-11,2572,37.017545099948144,35.61339412959331,-1.4041509703548343
2025-12,2784,30.135015867942155,10.608054999999997,-19.526960867942158
2026-01,2590,34.47653692538499,35.85706189598959,1.380524970604597
2026-02,2649,28.740319374126177,30.32429708135651,1.583977707230332
2026-03,2741,30.412744165907192,35.331205623106044,4.918461457198852
2026-04,2485,31.009023736319072,33.249366424979044,2.2403426886599718
2026-05,2586,32.403836612399864,35.60622617348093,3.2023895610810627
2026-06,2548,28.57518090429479,34.54684479797761,5.971663893682823
2026-07,2684,36.63793627091633,32.69349265882296,-3.944443612093366
2026-08,1919,24.966344526313847,11.944730468051526,-13.02161405826232
