month,qh_intervals_per_direction,hours_per_direction,qh_up_average,qh_down_average,qh_pooled_average,hour_up_average,hour_down_average,hour_pooled_average,pooled_difference
2026-01,2976,744,5.473306451612903,2.6942573924731184,4.083781922043011,5.473306451612903,2.6942573924731184,4.083781922043011,4.440892098500626e-16
2026-02,2688,672,3.4535751488095237,3.9291108630952385,3.691343005952381,3.4535751488095237,3.9291108630952385,3.691343005952381,0.0
2026-03,2972,743,3.9091823687752356,2.7269111709286675,3.318046769851952,3.9091823687752356,2.7269111709286675,3.318046769851952,2.220446049250313e-16
