month,direction,indicator,qh_count,qh_average_eur_per_mw,hour_count,hour_average_eur_per_mw,difference_hour_minus_qh
2026-01,up,2130,2976,5.473306451612903,744,5.473306451612903,0.0
2026-01,down,634,2976,2.6942573924731184,744,2.6942573924731184,0.0
2026-02,up,2130,2688,3.4535751488095237,672,3.4535751488095237,0.0
2026-02,down,634,2688,3.9291108630952385,672,3.9291108630952385,0.0
2026-03,up,2130,2972,3.9091823687752356,743,3.9091823687752356,0.0
2026-03,down,634,2972,2.7269111709286675,743,2.7269111709286675,0.0
