month,DA_avg_abs_mw,IDA_avg_abs_mw,aFRR_up_avg_mw,aFRR_down_avg_mw,DA_share,IDA_share,aFRR_up_share,aFRR_down_share
2025-01,67.01338041537484,68.91194632915847,89.42373461012316,88.58618331053351,0.2134624307214827,0.21951006616874966,0.28484770706612766,0.2821797960436399
2025-02,73.35948187628595,73.51769330959212,91.62268518518519,92.34645061728395,0.22173280898051106,0.22221101117908942,0.2769342807887988,0.27912189905160073
2025-03,64.1161140580508,65.25497747838475,88.46389645776567,88.80960490463215,0.20908933515486333,0.21280328755026617,0.2884899929963912,0.2896173842984793
2025-04,57.71739573237464,63.10566169102741,79.2218137254902,78.10253267973856,0.20750650532023254,0.22687848537283992,0.28481953322238984,0.28079547608453775
2025-05,61.390679896632186,67.37237526410614,77.11984536082474,80.16151202749141,0.2146193989582095,0.23553117036520432,0.26960794190517273,0.28024148877141347
2025-06,77.40323537493308,75.73620247638196,88.13829022988506,86.47341954022988,0.23616465094528952,0.2310783746327604,0.2689183268144936,0.2638386476074564
2025-07,58.975927716930045,59.81462331059246,73.52926829268293,74.1150406504065,0.2213521448485951,0.22449998966798146,0.27597465399532667,0.27817321148809687
2025-08,76.0113057716385,73.83126350221902,87.15598885793872,85.70508356545962,0.23554523702260677,0.22878968180806508,0.2700805866321894,0.26558449453713867
2025-09,74.51210857125163,71.41552788078185,90.0534965034965,91.29125874125874,0.22767612075352078,0.21821433671969157,0.27516374368336344,0.27894579884342413
2025-10,60.979066101530115,61.957085301262545,72.98792756539235,69.21327967806842,0.22999047140274353,0.23367919789804406,0.27528345284141165,0.2610468778578007
2025-11,62.349591043702766,63.69867477007149,76.82309486780716,74.57970451010887,0.22472283896486603,0.22958525939001972,0.27688880853540876,0.2688030931097054
2025-12,76.1632201685968,75.69752300468332,81.35308908045977,80.26436781609195,0.24296177581608652,0.24147619511602592,0.2595175328374898,0.2560444962303978
2026-01,74.63783783783784,75.87649665996295,82.25830115830117,80.78996138996139,0.23803169938305271,0.24198197544848266,0.2623345447869765,0.2576517803814882
2026-02,60.39789194631509,65.68049320783729,85.10683276708191,85.52095130237825,0.20356129467869685,0.22136544507888944,0.2868387704569134,0.2882344897855002
2026-03,62.27663544546452,67.59220359609195,72.75410434148121,74.30499817584852,0.224883899742641,0.24407866976369763,0.2627185394580731,0.26831889103558815
2026-04,69.46967846514119,71.44223325203842,77.35211267605632,77.53923541247485,0.23485095637813522,0.24151942510357402,0.261498513325589,0.2621311051927017
2026-05,68.20373936797198,68.25643284878025,73.89945862335654,73.930781129157,0.2399086866684248,0.24009403755818315,0.2599435489626914,0.2600537268107007
2026-06,61.69784446171248,66.78269146715948,69.77825745682888,68.53571428571429,0.23125605170890443,0.2503150910040818,0.26154308072476506,0.2568857765622487
2026-07,64.47084301110766,67.5143642968053,79.83084947839046,77.55923994038749,0.22279318152025623,0.2333107388934144,0.27587306304791137,0.268023016538418
2026-08,52.777724973494166,57.992356855121706,48.17561229807191,46.278269932256386,0.25717135528254104,0.2825808239356746,0.23474652445673921,0.22550129632504515
