month,DA_kEUR_per_MW,IDA_kEUR_per_MW,aFRR_capacity_up_kEUR_per_MW,aFRR_capacity_down_kEUR_per_MW,aFRR_activation_up_kEUR_per_MW,aFRR_activation_down_kEUR_per_MW,gross_kEUR_per_MW,covered_qh,gross_kEUR_per_MW_per_covered_hour
2025-01,-1.2616037941440905,9.764600533709233,33.604051200000036,19.94197170000002,7.539681159915237,-1.5239671567357274,68.06473364274471,2924,0.09311181072878894
2025-02,8.477205606163386,2.2776129105707246,39.46721880000002,17.336766599999997,6.407135319972858,-1.754264776847625,72.21167445985935,2592,0.11143776922817801
2025-03,8.000352653287946,4.597564135251282,23.488125400000015,20.443060999999997,7.459901226757532,0.9676330764648242,64.9566374917616,2936,0.08849678132392588
2025-04,4.9621177777994365,3.5876982006841973,9.818192900000003,10.461373800000004,3.7339299339549803,1.4365840457718413,33.99989665821046,2448,0.05555538669642232
2025-05,3.6286462304509635,5.682281328611233,4.917914499999998,7.611273600000001,2.6135463870683537,1.1514224774169555,25.605084523547507,2328,0.043994990590287816
2025-06,13.687385784080517,0.33619716279605594,12.122266499999997,7.541206499999998,6.929406250487222,-0.8681862305976039,39.74827596676619,2784,0.05710959190627326
2025-07,4.442008973497246,5.679267379508227,15.774406900000004,7.233978800000003,3.4193936791410677,-0.6564469593010193,35.89260877284553,2460,0.05836196548430167
2025-08,10.288153459883313,1.838635288002622,22.31645560000001,11.4997771,5.535077905177832,-0.9493568397029144,50.52874251336087,2872,0.07037429319409591
2025-09,10.103101956515964,3.9378968484491943,19.828890899999998,16.82715,5.354068195306035,-0.047571481704391336,56.003536418566796,2860,0.07832662436163189
2025-10,7.524543081346234,0.11940804338503934,15.352829500000002,8.007603999999999,4.669479036788341,-0.4481839695336358,35.22567969198598,2485,0.05670129527885067
2025-11,5.281293308440991,3.793318919558131,12.927065800000001,10.2424639,4.7222638018838525,0.05113937006516982,37.017545099948144,2572,0.057570054587788716
2025-12,7.204371946422779,-0.5328445288839192,10.5627295,8.1232068,5.398586550701304,-0.6210344002979913,30.135015867942172,2784,0.043297436591870936
2026-01,5.6074521,3.9022560392431442,12.267260100000005,5.551331300000001,5.760757142170264,1.3874802439716423,34.476536925385055,2590,0.05324561687318155
2026-02,4.022990782737686,2.7560414972197393,7.846368100000003,9.3000933,2.9954342782913153,1.81939141587738,28.74031937412612,2649,0.043397990749907314
2026-03,5.662923680853735,6.706366934308051,8.073471100000006,5.544710000000012,3.263843408372901,1.161429042372529,30.41274416590723,2741,0.04438196886670154
2026-04,-1.978796763759024,13.213272478498842,6.243432599999999,9.0610292,4.472407664468252,-0.002321442888954078,31.009023736319115,2485,0.04991392150715351
2026-05,2.208316671935305,9.935775403343632,9.392596899999997,7.642480299999998,3.631685604537503,-0.4070182674166401,32.40383661239979,2586,0.05012194371600896
2026-06,1.4741909996206233,9.55191904306044,9.9574387,3.7388340999999987,4.443290054442982,-0.5904919928292277,28.57518090429482,2548,0.04485899671003896
2026-07,-4.834599912908931,15.542095003260542,14.995228699999998,4.115529600000001,8.013046592943974,-1.193363712379207,36.63793627091638,2684,0.0546019914618724
2026-08,8.031952305504314,0.2631274730028046,10.469763100000002,3.4397110000000004,3.0719118428512884,-0.3101211950445659,24.96634452631384,1919,0.05204032209757965
