month,local_hour,valid_qh,DA_avg_abs_mw,IDA_avg_abs_mw,aFRR_up_avg_mw,aFRR_down_avg_mw
2025-01,0,124,70.96774193548387,74.35476524706611,93.54838709677419,90.16129032258064
2025-01,1,124,70.96774193548387,70.48294093092845,93.53225806451613,92.29032258064517
2025-01,2,124,74.19354838709677,70.96774193548387,93.54838709677419,90.3225806451613
2025-01,3,124,65.25100269803247,61.80287712316703,93.54838709677419,78.03225806451613
2025-01,4,124,77.41935483870968,68.80645161290323,93.54838709677419,84.71774193548387
2025-01,5,124,61.29032258064516,62.057811585937735,93.54838709677419,90.48387096774194
2025-01,6,124,45.16129032258065,45.16129032258065,93.54838709677419,93.54838709677419
2025-01,7,124,46.35483870967745,45.16129032258065,92.35483870967738,93.54838709677419
2025-01,8,124,53.58064516129032,54.83870967741935,90.3225806451613,91.50806451612904
2025-01,9,124,67.74193548387096,66.2258064516129,92.03225806451613,93.54838709677419
2025-01,10,124,53.70967741935484,51.652205261700026,91.45161290322581,93.45967741935483
2025-01,11,124,61.516129032258014,58.936235153723054,92.90322580645162,89.89516129032259
2025-01,12,120,80.0,88.56581551519868,93.33333333333333,84.53333333333333
2025-01,13,120,83.33333333333333,86.7305769060675,93.3,83.28333333333333
2025-01,14,116,75.86206896551724,87.14713116774183,93.10344827586206,72.03448275862068
2025-01,15,120,66.66666666666667,66.66666666666667,90.0,86.66666666666667
2025-01,16,120,66.66666666666667,67.1715816005041,90.0,89.9
2025-01,17,120,70.0,70.70000000000003,90.0,86.96666666666667
2025-01,18,120,73.33333333333333,74.1,84.1,90.0
2025-01,19,120,73.33333333333333,90.23546161858532,61.741666666667705,90.0
2025-01,20,120,70.0,83.71940947562466,71.36666666666666,90.0
2025-01,21,120,69.86666666666666,74.9910822960275,84.36666666666666,90.0
2025-01,22,120,73.26666666666667,73.90187486706091,89.73333333333333,90.0
2025-01,23,120,60.0,63.333333333333336,90.0,90.0
2025-02,0,108,81.48148148148148,86.9520887410259,90.55555555555556,95.5925925925926
2025-02,1,108,75.36482642062565,74.36760202473879,95.4074074074074,95.5925925925926
2025-02,2,108,88.88888888888889,85.18518518518519,92.5925925925926,96.29629629629629
2025-02,3,108,66.66666666666667,66.66666666666667,96.29629629629629,96.29629629629629
2025-02,4,108,62.96296296296296,62.59354114786279,95.77777777777777,93.55555555555556
2025-02,5,108,74.07407407407408,69.70370370370371,91.92592592592592,96.29629629629629
