month,v1_DA_kEUR_per_MW,v1_ID_kEUR_per_MW,v1_cap_up_kEUR_per_MW,v1_cap_down_kEUR_per_MW,v1_act_up_kEUR_per_MW,v1_act_down_kEUR_per_MW,v1_total_kEUR_per_MW,fixed_haircut_DA_kEUR_per_MW,fixed_haircut_ID_kEUR_per_MW,fixed_haircut_cap_up_kEUR_per_MW,fixed_haircut_cap_down_kEUR_per_MW,fixed_haircut_act_up_kEUR_per_MW,fixed_haircut_act_down_kEUR_per_MW,fixed_haircut_total_kEUR_per_MW,reoptimized_DA_kEUR_per_MW,reoptimized_ID_kEUR_per_MW,reoptimized_cap_up_kEUR_per_MW,reoptimized_cap_down_kEUR_per_MW,reoptimized_act_up_kEUR_per_MW,reoptimized_act_down_kEUR_per_MW,reoptimized_total_kEUR_per_MW,v1_up_MW_QH,v1_down_MW_QH,reoptimized_up_MW_QH,reoptimized_down_MW_QH
2025-01,10.511436299999994,-5.112507414668133,34.11102999999996,19.896029000000016,7.706247681174313,-1.6673476205977937,65.44488794590835,10.511436299999994,-5.112507414668133,23.517666014111033,14.007196968801296,7.706247681174313,-1.6673476205977937,48.96269192882071,10.079477899999995,-3.138869086897805,23.08156613711589,13.514994704104758,7.496827851942439,-1.5955949154217606,49.438402590843516,261316.0,254859.0,248377.0,236383.0
2025-02,19.59083639999999,-12.120330958553401,40.560092500000025,17.263922700000006,6.574584590880571,-1.75674545418656,70.11235977814063,19.59083639999999,-12.120330958553401,29.830779941505106,12.31992001156932,6.574584590880571,-1.75674545418656,54.43904453121502,18.452267199999987,-9.475650175096437,28.990715666033072,12.08969589339244,6.394382725933844,-1.727430374475566,54.72398093578734,238511.0,229339.0,229800.0,220161.0
2025-03,10.952458300000007,-1.3926443990224717,23.291109599999995,20.636452900000005,7.697323439609108,1.4992072884651095,62.683907129051754,10.952458300000007,-1.3926443990224717,16.291229918944758,16.169115999269785,7.697323439609108,1.4992072884651095,51.216690547266296,9.999224400000006,1.2808781878729651,15.4345488258141,15.810521543545793,7.398240898976932,1.5434094702096681,51.46682332641946,257355.0,262188.0,236051.0,249847.0
2025-04,7.8898374,0.034001311620828145,11.111059899999995,11.613339800000007,4.692625387234611,1.7568842785758088,37.09774807743125,7.8898374,0.034001311620828145,7.132225130280681,7.554902409848756,4.692625387234611,1.7568842785758088,29.060475917560687,8.070409000000001,1.246689627529328,6.428680321848913,7.322247691766147,4.57815816829591,1.7534050696549026,29.3995898790952,215987.0,207871.0,191535.0,190183.0
2025-05,5.663663099999997,3.709702229261591,5.031605299999998,8.4501139,3.053562579674306,1.3675218564135627,27.276168965349452,5.663663099999997,3.709702229261591,3.2137890396429505,5.329399871691053,3.053562579674306,1.3675218564135627,22.33763867668346,5.545601895055593,4.751673381105956,2.9295792987790272,5.025251934756943,2.911060361741571,1.375603232041455,22.538770103480545,169478.0,167545.0,143371.0,154674.0
2025-06,15.722452700000003,-3.7622193145445317,12.207099,7.118932300000001,7.243775905593372,-0.8156707444404143,37.71436984660843,15.722452700000003,-3.7622193145445317,7.157296797223735,4.43730416420738,7.243775905593372,-0.8156707444404143,29.982939508039543,14.376125399999996,-1.2869756170798783,6.768320152436454,4.164042583843217,7.010339144485485,-0.7928338999622199,30.23901776372305,239060.0,194069.0,219938.0,170422.0
2025-07,9.4447765,0.5621874936809758,19.0062626,7.750631899999998,4.298688237117093,-0.8107739461716936,40.251772784626375,9.4447765,0.5621874936809758,12.323705096736857,5.220989698736776,4.298688237117093,-0.8107739461716936,31.039573080100006,8.454479300000001,2.614945987315715,11.90783124773865,4.95365722718412,4.125580790639622,-0.7454025559746954,31.311091996903414,216744.0,180231.0,202346.0,159454.0
2025-08,12.997595399999998,-2.3805184600357916,22.476076000000006,11.274123799999998,5.524569020429851,-0.9214305519353676,48.9704152084587,12.997595399999998,-2.3805184600357916,14.59242181056686,8.152205936979747,5.524569020429851,-0.9214305519353676,37.9648431560053,12.663404799999986,-0.9254443598702745,14.107426809999634,7.930280551575688,5.320143283520029,-0.8841949639298995,38.21161612129516,255119.0,208677.0,237732.0,189664.0
2025-09,10.917038499999999,1.3324543032691716,20.04846759999999,16.504074099999997,5.221100623853642,0.09064481108127471,54.113779938204075,10.917038499999999,1.3324543032691716,13.888924275130089,12.397726665654044,5.221100623853642,0.09064481108127471,43.847889178988225,10.972023599999998,2.5412795452027512,13.336466160354693,12.104601362261041,5.05886245996883,0.09541498857497806,44.10864811636229,245444.0,226802.0,230872.0,209273.0
2025-10,10.073791025,-3.6748145724902015,20.1930755,9.495652299999998,5.985293675955589,-0.23739228868291012,41.83560563978248,10.073791025,-3.6748145724902015,13.149208006054181,5.907249540073442,5.985293675955589,-0.23739228868291012,31.2033353859101,9.863978724999996,-1.2415886397562945,10.467015204532961,4.736023577530243,4.691579881459435,-0.043184070971945814,28.473824677794394,229823.0,194732.0,187956.0,160564.0
2025-11,10.929166575,-3.0827976132784727,13.197635499999995,10.2145426,4.213337483682702,0.18983527856007068,35.6617198239643,10.929166575,-3.0827976132784727,7.865885373406456,6.141131769452426,4.213337483682702,0.18983527856007068,26.25655886682318,8.22084,1.08338,1.142541246076572,1.4225931548936463,0.0,0.0,11.869354400970218,179437.0,169227.0,30000.0,35400.0
2025-12,9.9070825,-1.9058075,0.99372,1.61306,0.0,0.0,10.608055,9.9070825,-1.9058075,0.5377894680545644,0.9552063420991226,0.0,0.0,9.494270810153687,9.764775,-1.5158925,0.45232820834714293,0.8744931322206904,0.0,0.0,9.575703840567833,24400.0,54100.0,19700.0,46800.0
2026-01,9.614103150000002,-1.30886725880089,13.371099899999999,6.341885999999997,6.41806785978467,1.4387773004414284,35.875066951425204,9.614103150000002,-1.30886725880089,8.63485142169865,3.7475376529335684,6.41806785978467,1.4387773004414284,28.544470126057426,8.941084775,0.7736213910220832,7.970049512957462,3.4847182957540004,6.200894836838047,1.474658628928524,28.845027440500115,211795.0,210906.0,191576.0,191273.0
2026-02,4.9210221999999995,1.6545048576272627,8.484317299999999,10.0901064,3.150329947725726,2.3652209992687876,30.665501704621775,4.9210221999999995,1.6545048576272627,5.702236037594051,7.331188092477589,3.150329947725726,2.3652209992687876,25.124502134693415,4.998447124999999,2.2305328259763484,5.330424716568559,7.219257013056782,3.0987928401961904,2.3833044714345952,25.260758992232475,229228.0,237287.0,213095.0,218555.0
2026-03,7.864441799999999,6.025799531942855,9.2222671,6.745582399999997,3.9188468166427675,1.7598117232533053,35.53674937183892,7.864441799999999,6.025799531942855,5.498854136422663,4.104971804265241,3.9188468166427675,1.7598117232533053,29.172725812526828,7.997165774999999,6.722603025874307,5.16942288800459,3.9121625129076736,3.836870300857268,1.7565110868580434,29.39473558950188,208444.0,223972.0,190905.0,200571.0
2026-04,-1.9288639999999997,13.280424217468711,7.282770500000001,9.516676799999997,4.9345714434086725,0.20684426584527307,33.292423226722654,-1.9288639999999997,13.280424217468711,4.216484603399238,6.377157857939815,4.9345714434086725,0.20684426584527307,27.08661838806171,-1.4691485749999997,13.528556108542706,4.003221678972988,6.179079837467477,4.82215574046581,0.2055914191560564,27.26945620960504,194995.0,180979.0,182100.0,161803.0
2026-05,4.8612193,7.0258143031022025,11.3352229,8.8069997,4.162361040740092,-0.5797236818998593,35.61189356194244,4.8612193,7.0258143031022025,7.153879040898343,5.496067904827884,4.162361040740092,-0.5797236818998593,28.11961790766866,4.540100974999998,8.240826641169303,6.831182498310944,5.2016081964567435,4.074033015485971,-0.5489721385558202,28.33877918786714,209182.0,189636.0,194412.0,165044.0
