month,v1_efc,reoptimized_efc,v1_cumulative_efc,reoptimized_cumulative_efc
2025-01,47.304553163359294,52.443674573340374,47.304553163359294,52.443674573340374
2025-02,43.749486410604135,47.541258391655376,91.05403957396342,99.98493296499575
2025-03,59.303005841623644,61.86630187501184,150.35704541558707,161.85123484000758
2025-04,54.72702643496419,60.638380945979144,205.08407185055125,222.48961578598673
2025-05,55.224537827680045,61.08531414040696,260.3086096782313,283.5749299263937
2025-06,56.15363256963271,58.68595593776228,316.46224224786397,342.26088586415597
2025-07,44.50534002217321,49.21473779749261,360.96758227003716,391.47562366164857
2025-08,53.51959259900436,57.406482453473856,414.4871748690415,448.88210611512244
2025-09,53.59603037769066,57.37513227046988,468.0832052467322,506.2572383855923
2025-10,44.166791319130965,42.50893095389467,512.2499965658632,548.766169339487
2025-11,36.51617277361454,0.0,548.7661693394778,548.766169339487
2025-12,0.0,0.0,548.7661693394778,548.766169339487
2026-01,50.67880013079863,55.41035740672557,50.67880013079863,55.41035740672557
2026-02,49.98516387432044,55.24593962074001,100.66396400511907,110.65629702746558
2026-03,60.66237081916716,66.49427414565672,161.32633482428622,177.1505711731223
2026-04,48.95112810725095,53.112992693089396,210.27746293153717,230.2635638662117
2026-05,48.04167975683087,50.80140639147102,258.31914268836806,281.0649702576827
2026-06,50.8790065735205,54.846465371689376,309.19814926188855,335.9114356293721
2026-07,36.25003318063614,9.536746813152432,345.4481824425247,345.4481824425245
2026-08,0.5434782608691666,0.5434782608694353,345.99166070339385,345.99166070339396
